CountryCode,SeriesCode,Year,DESCRIPTION
"GAB","SP.UWT.TFRT","YR2012","Source: Demographic and Health Survey 2012. Retrieved on April 4, 2025, from DHS API (https://api.dhsprogram.com.html)."
"GAB","SP.UWT.TFRT","YR2021","Source: Demographic and Health Survey 2019-21. Retrieved on April 4, 2025, from DHS API (https://api.dhsprogram.com.html)."
"GBR","IT.NET.USER.ZS","YR1990","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1991","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1992","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1993","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1994","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1995","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1996","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1997","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1998","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR1999","Source: ITU estimate."
"GBR","IT.NET.USER.ZS","YR2000","Population age 16+ using internet in the last 3 months. ONS."
"GBR","IT.NET.USER.ZS","YR2001","Population age 16+ using the Internet in the last 3 months. ONS."
"GBR","IT.NET.USER.ZS","YR2002","Population age 16-74 using Internet in the last 3 months. Eurostat."
"GBR","IT.NET.USER.ZS","YR2003","Population age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2004","Population age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2005","Population age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2006","Population age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2007","Population age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2008","Population age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2009","Population age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2010","Population age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2011","Users in the last 3 months. Age 16-74. Eurostat."
"GBR","IT.NET.USER.ZS","YR2012","Users in the last 3 months. Eurostat"
"GBR","IT.NET.USER.ZS","YR2013","Population age 16-74. Eurostat."
